Sample,generation,treatment,trt_type,avg_final_size,avg_cumulative_reproduction
SJ-0-C1,0,C1,CTRL,3.024833333,7.333333333
SJ-0-C2,0,C1,CTRL,3.025333333,13
SJ-0-C3,0,C1,CTRL,3.074166667,9.5
SJ-0-C4,0,C1,CTRL,3.033833333,7.666666667
SJ-0-AB4,0,A1,AB,3.1404,4.166666667
SJ-0-AB2,0,A1,AB,2.942833333,6.5
SJ-0-AB3,0,A1,AB,3.191166667,8.8
SJ-1-C1,1,C2,CTRL,2.9572,10.16666667
SJ-1-C3,1,C2,CTRL,3.0168,11.83333333
SJ-1-C4,1,C2,CTRL,2.9624,13.2
SJ-1-AB1,1,A2,AB,3.0244,13.33333333
SJ-1-AB2,1,A2,AB,3.0398,16.16666667
SJ-1-AB3,1,A2,AB,2.992833333,12.6
SJ-1-ABC-A1,1,R1->1,REC,2.981166667,15.5
SJ-1-ABC-A2,1,R1->1,REC,2.941166667,16.33333333
SJ-1-ABC-A3,1,R1->1,REC,3.034333333,13.16666667
SJ-1-ABC-A4,1,R1->1,REC,3.016,13.5
SJ-2-C1,2,C3,CTRL,3.398,16.83333333
SJ-2-C2,2,C3,CTRL,3.194333333,15.5
SJ-2-C3,2,C3,CTRL,3.164,14
SJ-2-C4,2,C3,CTRL,3.248666667,19.16666667
SJ-2-AB1,2,A3,AB,3,12.5
SJ-2-AB2,2,A3,AB,3.0802,10.5
SJ-2-AB3,2,A3,AB,3.036428571,11.75
SJ-2-AB4,2,A3,AB,NA,NA
SJ-2-ABC-A1,2,R1->2,REC,3.0925,8.2
SJ-2-ABC-A2,2,R1->2,REC,2.956333333,7
SJ-2-ABC-A3,2,R1->2,REC,3.113,9.666666667
SJ-2-ABC-A4,2,R1->2,REC,3.157,12.8
SJ-2-ABC-B1,2,R2->1,REC,3.0895,11.4
SJ-2-ABC-B2,2,R2->1,REC,2.966166667,10.6
SJ-2-ABC-B3,2,R2->1,REC,3.153428571,10.4
SJ-2-ABC-B4,2,R2->1,REC,NA,9.25
SJ-3-C1,3,C4,CTRL,3.0984,7.6
SJ-3-C2,3,C4,CTRL,2.9858,8.2
SJ-3-C3,3,C4,CTRL,3.1074,10.2
SJ-3-C4,3,C4,CTRL,3.0844,12.8
SJ-3-AB1,3,A4,AB,3.3012,15.6
SJ-3-AB2,3,A4,AB,3.2884,16.4
SJ-3-AB3,3,A4,AB,3.2915,10.5
SJ-3-ABC-A1,3,R1->3,REC,2.98,13.2
SJ-3-ABC-A2,3,R1->3,REC,3.1562,14
SJ-3-ABC-A3,3,R1->3,REC,3.0388,14.8
SJ-3-ABC-A4,3,R1->3,REC,3.1075,11.75
SJ-3-ABC-B1,3,R2->2,REC,3.142,11.6
SJ-3-ABC-B2,3,R2->2,REC,3.12,14.2
SJ-3-ABC-B4,3,R2->2,REC,3.083833333,13.2
SJ-3-ABC-C1,3,R3->1,REC,3.2502,8.2
SJ-3-ABC-C2,3,R3->1,REC,3.1894,11
SJ-3-ABC-C3,3,R3->1,REC,3.0648,9.2
SJ-3-ABC-C4,3,R3->1,REC,3.10525,8.6
SJ-4-C1,4,C5,CTRL,3.2574,11
SJ-4-C2,4,C5,CTRL,3.2066,14
SJ-4-C3,4,C5,CTRL,3.2688,11.8
SJ-4-C4,4,C5,CTRL,3.2146,13
SJ-4-AB2,4,A5,AB,3.3344,19
SJ-4-AB3,4,A5,AB,3.4412,20.2
SJ-4-ABC-A1,4,R1->4,REC,3.384833333,21.83333333
SJ-4-ABC-A2,4,R1->4,REC,3.431,24.66666667
SJ-4-ABC-A3,4,R1->4,REC,3.3864,18.6
SJ-4-ABC-A4,4,R1->4,REC,3.357,17.6
SJ-4-ABC-B1,4,R2->3,REC,3.339333333,18.5
SJ-4-ABC-B2,4,R2->3,REC,3.201333333,19.66666667
SJ-4-ABC-B3,4,R2->3,REC,3.252166667,19.5
SJ-4-ABC-B4,4,R2->3,REC,3.2738,19.2
SJ-4-ABC-C1,4,R3->2,REC,3.11184,11.4
SJ-4-ABC-C2,4,R3->2,REC,3.1622,17.8
SJ-4-ABC-C3,4,R3->2,REC,2.9974,13.6
SJ-4-ABC-C4,4,R3->2,REC,3.141,12.75
SJ-4-ABC-D1,4,R4->1,REC,3.257,14.2
SJ-4-ABC-D2,4,R4->1,REC,3.0735,16.8
SJ-4-ABC-D3,4,R4->1,REC,3.199333333,11.2
SJ-4-ABC-D4,4,R4->1,REC,3.119,11
SJ-5-AB3-J,5,A6,AB,NA,NA
SJ-5-ABC-A1-J,5,R1->5,REC,NA,NA
SJ-5-ABC-A3-J,5,R1->5,REC,NA,NA
SJ-5-ABC-C1,5,R3->3,REC,NA,NA
SJ-5-ABC-C2,5,R3->3,REC,NA,NA
SJ-5-ABC-C3,5,R3->3,REC,NA,NA
SJ-5-C1-J,5,C6,CTRL,NA,NA
SJ-5-C2-J,5,C6,CTRL,NA,NA
SJ-5-C3-J,5,C6,CTRL,NA,NA
SJ-5-C4-J,5,C6,CTRL,NA,NA