"","asv","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","polished_genus"
"1","ASV4",376.701785969923,12.2345800121214,3.02083349741614,4.05006764609378,5.12028294048952e-05,0.00048927148098011,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA,"Chitinophagales(ASV4)"
"2","ASV44",115.114470420444,10.5242367946408,2.98161528086355,3.52970983955806,0.00041601565204925,0.00255552471973111,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"Brevundimonas(ASV44)"
"3","ASV49",114.655163714357,10.5186648483682,1.89973946688404,5.53689862832662,3.0787462468291e-08,5.64767425829186e-07,"Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Mycobacteriaceae","Rhodococcus",NA,"Rhodococcus(ASV49)"
"4","ASV65",27.4955161487904,8.45881057400653,1.80696812136665,4.6812173795346,2.851763461101e-06,3.50359510935265e-05,"Bacteria","Planctomycetota","Planctomycetes","Gemmatales","Gemmataceae","Gemmata","Gemmata_obscuriglobus(RS_GCF_000171775_1)","Gemmata(ASV65)"
"5","ASV117",23.4788040602945,8.23078572859556,2.57837364618154,3.19223931751901,0.00141174311369293,0.00714175928103481,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Sphingomonas_koreensis(RS_GCF_002797435_1)","Sphingomonas(ASV117)"
"6","ASV43",14.1715226294755,7.50220798160947,2.39639415498467,3.13062355205814,0.00174435606012867,0.0078955063774245,"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA,NA,"Alphaproteobacteria(ASV43)"
"7","ASV101",12.969151149736,7.37398316342663,1.9888693875505,3.7076256538437,0.000209211614825026,0.00149934990624602,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,"Novosphingobium(ASV101)"
"8","ASV84",11.3959976554829,7.18865820323189,2.32447486346653,3.09259451079257,0.00198415042270712,0.00853184681764061,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","UBA1930","UBA1930_sp004028795(GB_GCA_004028795_1)","UBA1930(ASV84)"
"9","ASV38",205.886017526237,3.71981897128302,1.18370230776169,3.1425291197725,0.00167495051723618,0.0078955063774245,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Brevundimonas_sp002426005(GB_GCA_002426005_1)","Brevundimonas(ASV38)"
"10","ASV1",11676.0844073288,3.09911820877774,0.57700917285377,5.37100336455681,7.82997482292705e-08,1.12229639128621e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Hydromonas","Hydromonas_duriensis(RS_GCF_004363775_1)","Hydromonas(ASV1)"
"11","ASV30",331.118178105657,-3.0595407812071,0.839182338223963,-3.64585935838721,0.000266499707544676,0.00176299806529555,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus_B","Sphingorhabdus_B_contaminans(GB_GCA_007280415_1)","Sphingorhabdus_B(ASV30)"
"12","ASV8",673.016753536187,-3.13640783620809,0.835192074298449,-3.75531321803148,0.000173124832654451,0.0013535214189348,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","UBA4466","UBA4466_sp003149635(GB_GCA_003149635_1)","UBA4466(ASV8)"
"13","ASV25",91.0892086766004,-4.40885433384147,1.37730276639321,-3.20107854381727,0.00136914205402773,0.00714175928103481,"Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae",NA,NA,"Nevskiaceae(ASV25)"
"14","ASV14",287.575631525829,-4.96304123812717,1.09188661388642,-4.5453815213119,5.48358357936187e-06,5.89485234781401e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"Brevundimonas(ASV14)"
"15","ASV9",841.35771729463,-8.02374077884646,1.33938404323489,-5.99061995651931,2.0904261940077e-09,5.99255508948875e-08,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA,"Chitinophagaceae(ASV9)"
"16","ASV69",62.6037326760214,-9.1762510011686,1.66067822641961,-5.5256044519548,3.28353154551852e-08,5.64767425829186e-07,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola","Fluviicola_sp003856375(RS_GCF_003856375_1)","Fluviicola(ASV69)"
"17","ASV35",65.0153676433565,-9.23063926399676,2.75209254441379,-3.35404391931992,0.000796397210919049,0.00456601067593588,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella_A",NA,"Lewinella_A(ASV35)"
"18","ASV66",99.2607220444325,-9.84140268674426,1.57224130795302,-6.25947342622442,3.86279547527981e-10,1.66100205437032e-08,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Flavobacterium_sp004797125(RS_GCF_004797125_1)","Flavobacterium(ASV66)"
"19","ASV23",179.618637129401,-10.6966515044942,1.4926004912003,-7.16645315846861,7.69657167023899e-13,6.61905163640554e-11,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas",NA,"Blastomonas(ASV23)"
"20","ASV16",439.02803173306,-11.9859873256335,3.02496783275231,-3.96235199457571,7.42150145803444e-05,0.000638249125390962,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA,"Chitinophagaceae(ASV16)"
